Term CValue
"klone knowledge representation system" 3.6109179126442243
"increased terminological contribution" 3.6109179126442243
"rdf with temporal annotation  krieger" 3.6109179126442243
"standpoint of artificial intelligence" 3.6109179126442243
gabbay 3.5835189384561099
ladner 3.5835189384561099
nactem 3.5835189384561099
labels 3.5835189384561099
matter 3.5835189384561099
method 3.5835189384561099
plenty 3.5835189384561099
person 3.5835189384561099
dsouza 3.5835189384561099
jensen 3.5835189384561099
time11 3.5835189384561099
action 3.5835189384561099
wolter 3.5835189384561099
sattar 3.5835189384561099
sistla 3.5835189384561099
schulz 3.5835189384561099
"sort t" 3.5835189384561099
source 3.5835189384561099
starts 3.5835189384561099
states 3.5835189384561099
vilain 3.5835189384561099
subset 3.5835189384561099
agents 3.5835189384561099
timing 3.5835189384561099
survey 3.5835189384561099
"regular periodic temporal structures" 3.5835189384561099
"available ontological content  niles" 3.5835189384561099
"second generation rdf query language" 3.5835189384561099
"interval temporal logics  moszkowski" 3.5835189384561099
"propositional dynamic logic  fischer" 3.5835189384561099
"models of dynamic engineering design" 3.5835189384561099
"semantic web information management" 3.5553480614894135
"sparqlbased temporal query language" 3.5553480614894135
"temporal ontology querying language" 3.5553480614894135
"psitime versus allens time interval" 3.5553480614894135
"uniformsamplingmap concept subsumes" 3.5553480614894135
"swrltemporal contains swrl buildins" 3.5553480614894135
"propositional linear temporal logic" 3.5553480614894135
"notion of infinitesimal differences" 3.5553480614894135
"ontoelect methodology  tatarintseva" 3.5553480614894135
"spatiotemporal representation model" 3.5553480614894135
"term recognition technique  frantzi" 3.5553480614894135
"examples of temporal representation" 3.5553480614894135
"verification of distributed systems" 3.5553480614894135
"typed firstorder predicate calculus" 3.5553480614894135
"ieee annual intl computer software" 3.5263605246161616
"properties for datetimedescription" 3.5263605246161616
"coexistence of different timelines" 3.5263605246161616
"relative termhood difference value" 3.5263605246161616
"consistency of temporal assertions" 3.5263605246161616
"concurrency in distributed systems" 3.5263605246161616
"temporal entityrelationship models" 3.5263605246161616
"relationships among time intervals" 3.5263605246161616
"handbook of constraint programming" 3.5263605246161616
"tools with artificial intelligence" 3.5263605246161616
"additional expressive capabilities" 3.5263605246161616
"time intervalbased calculus states" 3.5263605246161616
"dynamic engineering design process" 3.5263605246161616
"mapping of such periodic behaviors" 3.5263605246161616
"swrl temporal ontology contributes" 3.5263605246161616
"library of foundational ontologies" 3.5263605246161616
"representative community sentiment" 3.5263605246161616
wwwisieduhobbstimezonehomepagehtml 3.5263605246161616
"suffers from several disadvantages" 3.5263605246161616
"family of nonstandard tense logics" 3.5263605246161616
"alternatives in logical postulates" 3.5263605246161616
"practice of semantic web reasoning" 3.5263605246161616
"absolute termhood difference value" 3.5263605246161616
"restrictions on temporal incidence" 3.5263605246161616
"knowledge representation languages" 3.5263605246161616
"knowledge about temporal intervals" 3.5263605246161616
"primitive relation pointininterval" 3.5263605246161616
"hybrid discretecontinuous systems" 3.4965075614664802
"interoperable semantic annotation" 3.4965075614664802
"identification of tractable cases" 3.4965075614664802
"kconsistency implies nconsistency" 3.4965075614664802
"terms of precise numerical values" 3.4965075614664802
"appropriateness of nonmetric time" 3.4965075614664802
"ideas of franz brentano  brentano" 3.4965075614664802
"research in logical formalization" 3.4965075614664802
wwwcyccomplatformopencycdownloads 3.4965075614664802
"intervalbased temporal structures" 3.4965075614664802
"reason over qualitative relations" 3.4965075614664802
ermolayevcomtimeontotimepaperszip 3.4965075614664802
"relationships among time elements" 3.4965075614664802
"relations between crisp intervals" 3.4965075614664802
wwwintelligencetucgrprototypesphp 3.4965075614664802
"temporal intervalbased structures" 3.4965075614664802
"constraint linear temporal logics" 3.4965075614664802
"current w3c recommendation  hobbs" 3.4965075614664802
"mappings from hebrand time points" 3.4965075614664802
"nomenclature of temporal elements" 3.4965075614664802
"tsql2like temporal query language" 3.4965075614664802
platostanfordeduentriesheraclitus 3.4965075614664802
"constraint propagation algorithms" 3.4965075614664802
"mention periodic time structures" 3.4657359027997265
"intervals for temporal reasoning" 3.4657359027997265
"intervalbased temporal reasoning" 3.4657359027997265
"intervals with unknown endpoints" 3.4657359027997265
"artificial intelligence research" 3.4657359027997265
"upper bound duration annotations" 3.4657359027997265
"intervaltointerval relationships" 3.4657359027997265
"upperlevelkernel ontology  cohen" 3.4657359027997265
"synergetic formal representation" 3.4657359027997265
"proliferation of objects  artale" 3.4657359027997265
"support for annotated properties" 3.4657359027997265
"vcad emea cadence design systems" 3.4657359027997265
platostanfordeduentriesaristotle 3.4657359027997265
"discussion of temporal intervals" 3.4657359027997265
"j of applied nonclassical logics" 3.4657359027997265
"pointbased model temporal theory" 3.4657359027997265
"subject of philosophical thought" 3.4657359027997265
"different basic temporal element" 3.4657359027997265
"polynomial worst case complexity" 3.4657359027997265
"qualitative temporal information" 3.4657359027997265
"score significance threshold eps" 3.4657359027997265
"unboundedness versus boundedness" 3.4657359027997265
"exponential worst case algorithm" 3.4657359027997265
"restriction on future assertions" 3.4657359027997265
"ontology engineering methodology" 3.4657359027997265
"ptl propositional temporal logic" 3.4657359027997265
"harmonized semantic web ontology" 3.4657359027997265
"reification of properties labels" 3.4657359027997265
"hence owl object property axioms" 3.4657359027997265
system 3.4456912869770289
"hayesten horst entailment rules" 3.4339872044851463
"constraint satisfaction problem" 3.4339872044851463
"indefinite temporal information" 3.4339872044851463
"definitions of allens relations" 3.4339872044851463
"logics with temporal properties" 3.4339872044851463
"forwardbranching time structure" 3.4339872044851463
"technical report psiontotr20075" 3.4339872044851463
"vagueness in temporal knowledge" 3.4339872044851463
"individuals for inconsistencies" 3.4339872044851463
"temporal information processing" 3.4339872044851463
"fotl first order temporal logic" 3.4339872044851463
wwwkslstanfordeduontologiestime 3.4339872044851463
"temporalthing denotes something" 3.4339872044851463
"disjunctions of basic relations" 3.4339872044851463
"owl ontological representations" 3.4339872044851463
"clear philosophical distinction" 3.4339872044851463
"pair of disjoint time intervals" 3.4339872044851463
"collection of scientific papers" 3.4339872044851463
"reason about scenario overviews" 3.4339872044851463
"concurrent execution frameworks" 3.4339872044851463
"application specific swrl rules" 3.4339872044851463
"algebraic structure tconsisting" 3.4339872044851463
"properties of temporal contexts" 3.4339872044851463
project 3.4053427608467981
"transitive precedence relation" 3.4011973816621555
"results in formal verification" 3.4011973816621555
"temporal constraint propagator" 3.4011973816621555
"frequencies of term occurrence" 3.4011973816621555
"combination of feature choices" 3.4011973816621555
"temporal pointbased structures" 3.4011973816621555
"biomedical engineering systems" 3.4011973816621555
"definition of calendar systems" 3.4011973816621555
"form of implemented ontologies" 3.4011973816621555
"swrltemporal offer definitions" 3.4011973816621555
"means of qualitative relations" 3.4011973816621555
"university of california press" 3.4011973816621555
motoolssfnettimelinetimelinen3 3.4011973816621555
"practical reasoning complexity" 3.4011973816621555
